"MLSNumber","StreetNumberNumeric","StreetName","City","CDOM","ListPrice","CurrentPrice","ClosePrice","PendingDate","CloseDate","SqFtTotal","SqFtLivArea","View","WaterView"
"A11288234","4220","Santa Maria St","Coral Gables","194","4995000","4950000","4950000","2023-04-25","2023-06-26","4714","3416","Garden View, Golf View",""
"A11744409","2700","Columbus Blvd","Coral Gables","29","4195000","4000000","4000000","2025-03-14","2025-04-10","3777","3777","Garden View",""
"A11153845","1203","Asturia Ave","Coral Gables","4","3999999","4100000","4100000","2022-02-08","2022-03-14","4265","3961","Garden View",""
"A11824666","1460","Mantua Ave","Coral Gables","54","3998000","3950000","3950000","2025-08-11","2025-08-19","4203","3197","Garden View, Pool Area View",""
"A11725571","1009","Hardee Rd","Coral Gables","804","3995000","3600000","3600000","2025-03-12","2025-04-16","4074","3703","Garden View",""
"A11348843","2700","Columbus Blvd","Coral Gables","6","3950000","3900000","3900000","2023-03-09","2023-06-09","3777","3896","Garden View",""
"A11218642","1200","Sorolla Ave","Coral Gables","28","3950000","3950000","3950000","2022-07-06","2022-07-29","5011","3534","Garden View, Pool Area View",""
"A11713440","1203","Alhambra Cir","Coral Gables","17","3750000","3500000","3500000","2025-01-24","2025-03-10","4183","3142","Garden View, Pool Area View",""
"A11589200","3401","Granada Blvd","Coral Gables","75","3750000","3500000","3500000","2024-07-31","2024-08-12","4067","3284","None",""
"A11267315","1015","Bayamo Ave","Coral Gables","97","3750000","3550000","3550000","2022-12-08","2023-04-13","4146","3317","Garden View, Pool Area View",""
"A11338387","902","Greenway Dr","Coral Gables","42","3700000","3550000","3550000","2023-03-24","2023-04-25","3709","3422","Garden View, Golf View",""
"A11156052","1119","Coral Way","Coral Gables","222","3699999","3450000","3450000","2022-02-15","2022-03-30","4785","3971","None",""
"A11686317","3711","Alhambra Cir","Coral Gables","91","3695000","3425000","3425000","2025-01-31","2025-04-21","4220","3542","Garden View, Pool Area View",""
"A11787338","901","Valencia Ave","Coral Gables","14","3650000","3700000","3700000","2025-05-15","2025-05-30","4793","3982","Garden View",""
"A11476851","1138","Obispo Ave","Coral Gables","44","3600000","3200000","3200000","2024-01-16","2024-02-29","3455","2867","Garden View, Pool Area View",""
"A11607466","1033","Almeria Ave.","Coral Gables","19","3598000","3598000","3598000","2024-06-19","2024-08-12","4700","3514","Garden View",""
"A11792923","1217","Algardi Ave","Coral Gables","78","3500000","3288000","3288000","2025-07-24","2025-09-11","3480","2916","Garden View, Pool Area View",""
"A11534742","1215","Malaga Ave","Coral Gables","71","3500000","3350000","3350000","2024-05-14","2024-06-12","3407","3071","None",""
"A11479229","4310","Santa Maria St","Coral Gables","89","3500000","3400000","3400000","2024-01-30","2024-05-29","3950","3270","Golf View",""
"A11544315","813","Anastasia Avenue","Coral Gables","84","3499900","3200000","3200000","2024-05-28","2024-07-08","3992","3194","Garden View, Pool Area View",""
"A11402045","2103","Country Club Prado","Coral Gables","43","3498000","3278600","3278600","2023-07-25","2023-09-06","3573","3067","Garden View",""
"A11802393","434","Castania Ave","Coral Gables","5","3475000","3250000","3250000","2025-05-22","2025-07-17","4548","3776","Garden View",""
"A11716199","203","Ridgewood Rd","Coral Gables","256","3450000","3300000","3300000","2025-05-16","2025-06-25","3117","2834","Garden View, Pool Area View",""
"A11693488","513","Majorca Ave","Coral Gables","48","3450000","3150000","3150000","2025-01-01","2025-01-21","4405","3709","Pool Area View",""
"A11474630","1130","Alhambra Cir","Coral Gables","29","3450000","3090000","3090000","2023-11-29","2024-01-19","4701","2986","Garden View, Pool Area View",""
"A11148081","1504","Greenway Dr","Coral Gables","0","3450000","3450000","3450000","2021-12-15","2022-02-10","4602","3355","Other View",""
"A11176568","927","Coral Way","Coral Gables","28","3400000","2850000","2850000","2022-04-14","2022-05-05","3375","2670","Garden View",""
"A11600198","2601","De Soto Blvd","Coral Gables","177","3395000","3300000","3300000","2024-06-19","2024-07-25","4302","3722","Garden View, Pool Area View",""
"A11302742","3222","Riviera Dr","Coral Gables","50","3395000","3150000","3150000","2023-01-03","2023-02-13","3833","2654","Garden View, Pool Area View",""
"A11776495","6925","Tordera St","Coral Gables","241","3295000","3150000","3150000","2025-08-11","2025-08-28","4187","3354","Garden View",""
"A11735072","4151","Segovia St","Coral Gables","32","3250000","2850000","2850000","2025-03-08","2025-03-27","3386","2707","Garden View, Pool Area View",""
